CountyName,Dem,Rep,Libertarian,Green,WRITE IN,Total
ADAMS," 15,091 "," 26,767 ", 437 , 162 ," 1,164 "," 43,621 "
ALLEGHENY," 352,687 "," 262,039 "," 5,196 "," 2,159 "," 12,527 "," 634,608 "
ARMSTRONG," 9,045 "," 20,142 ", 297 , 118 , 724 ," 30,326 "
BEAVER," 37,055 "," 42,344 ", 794 , 281 ," 1,275 "," 81,749 "
BEDFORD," 4,788 "," 16,702 ", 143 , 64 , 3 ," 21,700 "
BERKS," 83,011 "," 84,702 "," 1,832 ", 775 , 745 ," 171,065 "
BLAIR," 16,276 "," 33,319 ", 464 , 182 , 474 ," 50,715 "
BRADFORD," 8,624 "," 14,410 ", 243 , 149 , 416 ," 23,842 "
BUCKS," 160,521 "," 156,579 "," 2,863 "," 1,053 ", 472 ," 321,488 "
BUTLER," 28,550 "," 59,761 ", 819 , 315 ," 3,229 "," 92,674 "
CAMBRIA," 24,249 "," 35,163 ", 712 , 402 , 5 ," 60,531 "
CAMERON, 724 ," 1,359 ", 19 , 9 , 51 ," 2,162 "
CARBON," 11,580 "," 13,504 ", 356 , 141 , 188 ," 25,769 "
CENTRE," 34,176 "," 34,001 "," 1,049 ", 400 , 911 ," 70,537 "
CHESTER," 124,311 "," 124,840 "," 2,082 ", 740 ," 2,119 "," 254,092 "
CLARION," 5,056 "," 10,828 ", 208 , 94 , 1 ," 16,187 "
CLEARFIELD," 11,121 "," 20,347 ", 339 , 160 , 632 ," 32,599 "
CLINTON," 5,734 "," 7,303 ", 171 , 57 , 226 ," 13,491 "
COLUMBIA," 10,937 "," 14,236 ", 324 , 126 , 583 ," 26,206 "
CRAWFORD," 13,883 "," 20,901 ", 436 , 168 , 127 ," 35,515 "
CUMBERLAND," 44,367 "," 64,809 "," 1,191 ", 447 ," 3,478 "," 114,292 "
DAUPHIN," 64,965 "," 57,450 "," 1,128 ", 465 , 197 ," 124,205 "
DELAWARE," 171,792 "," 110,853 "," 2,002 ", 917 , 811 ," 286,375 "
ELK," 5,463 "," 7,579 ", 117 , 79 , 391 ," 13,629 "
ERIE," 68,036 "," 49,025 "," 1,087 ", 471 ," 1,748 "," 120,367 "
FAYETTE," 21,971 "," 26,018 ", 365 , 151 , 549 ," 49,054 "
FOREST, 896 ," 1,383 ", 23 , 10 , 68 ," 2,380 "
FRANKLIN," 18,995 "," 43,260 ", 571 , 252 , 836 ," 63,914 "
FULTON," 1,310 "," 4,814 ", 50 , 21 , 79 ," 6,274 "
GREENE," 5,852 "," 8,428 ", 116 , 68 , 2 ," 14,466 "
HUNTINGDON," 5,409 "," 11,979 ", 135 , 116 , 379 ," 18,018 "
INDIANA," 14,473 "," 21,257 ", 385 , 206 ," 1,270 "," 37,591 "
JEFFERSON," 4,787 "," 13,048 ", 173 , 89 , 51 ," 18,148 "
JUNIATA," 2,547 "," 6,862 ", 83 , 43 , 386 ," 9,921 "
LACKAWANNA," 61,838 "," 35,085 ", 743 , 349 , 197 ," 98,212 "
LANCASTER," 88,481 "," 130,669 "," 2,527 ", 759 ," 2,976 "," 225,412 "
LAWRENCE," 17,513 "," 21,047 ", 334 , 142 , 422 ," 39,458 "
LEBANON," 19,900 "," 35,872 ", 589 , 219 ," 1,107 "," 57,687 "
LEHIGH," 78,283 "," 66,874 "," 1,331 ", 514 , 222 ," 147,224 "
LUZERNE," 64,307 "," 58,325 "," 1,261 ", 546 , -   ," 124,439 "
LYCOMING," 15,203 "," 30,658 ", 409 , 223 , 667 ," 47,160 "
McKEAN," 5,297 "," 9,545 ", 178 , 88 , 194 ," 15,302 "
MERCER," 24,232 "," 25,925 ", 487 , 219 , 687 ," 51,550 "
MIFFLIN," 4,273 "," 11,939 ", 107 , 52 , 156 ," 16,527 "
MONROE," 35,221 "," 26,867 ", 596 , 233 , 142 ," 63,059 "
MONTGOMERY," 233,356 "," 174,381 "," 3,253 "," 1,210 ", 362 ," 412,562 "
MONTOUR," 3,053 "," 4,652 ", 96 , 30 , 258 ," 8,089 "
NORTHAMPTON," 67,606 "," 61,446 "," 1,188 ", 495 , 195 ," 130,930 "
NORTHUMBERLAND," 13,072 "," 19,518 ", 422 , 200 , 623 ," 33,835 "
PERRY," 5,685 "," 13,120 ", 238 , 85 , 47 ," 19,175 "
PHILADELPHIA," 588,806 "," 96,467 "," 2,892 "," 2,162 ", 397 ," 690,724 "
PIKE," 10,210 "," 12,786 ", 194 , 89 , 44 ," 23,323 "
POTTER," 1,897 "," 5,231 ", 78 , 36 , 7 ," 7,249 "
SCHUYLKILL," 24,546 "," 32,278 ", 617 , 286 ," 1,410 "," 59,137 "
SNYDER," 4,687 "," 10,073 ", 180 , 62 , 43 ," 15,045 "
SOMERSET," 9,436 "," 23,984 ", 334 , 188 , 761 ," 34,703 "
SULLIVAN," 1,034 "," 1,868 ", 30 , 17 , 49 ," 2,998 "
SUSQUEHANNA," 6,935 "," 10,800 ", 202 , 107 , 240 ," 18,284 "
TIOGA," 5,357 "," 11,342 ", 195 , 110 , 132 ," 17,136 "
UNION," 6,109 "," 9,896 ", 184 , 79 , 196 ," 16,464 "
VENANGO," 7,945 "," 13,815 ", 299 , 108 , 813 ," 22,980 "
WARREN," 6,995 "," 10,010 ", 205 , 89 , 867 ," 18,166 "
WASHINGTON," 40,345 "," 53,230 ", 854 , 321 , 13 ," 94,763 "
WAYNE," 8,396 "," 12,896 ", 195 , 120 , 330 ," 21,937 "
WESTMORELAND," 63,722 "," 103,932 "," 1,426 ", 492 , 956 ," 170,528 "
WYOMING," 5,061 "," 6,587 ", 152 , 72 , 132 ," 12,004 "
YORK," 73,191 "," 113,304 "," 1,985 ", 749 ," 3,185 "," 192,414 "
Grand Total," 2,990,274 "," 2,680,434 "," 49,991 "," 21,341 "," 53,947 "," 5,795,987 "